Symbol,Sector,Company Name,Listed Shares,Paidup Value,Total Paidup
ADBL,Commercial Bank,Agriculture Development Bank Limited,"134,516,741",100,"13,187,915,800.00"
CZBIL,Commercial Bank,Citizen Bank International Limited,"142,009,741",100,"14,200,974,100.00"
EBL,Commercial Bank,Everest Bank Limited,"106,980,945",100,"10,698,094,500.00"
GBIME,Commercial Bank,Global IME Bank Limited,"357,710,597",100,"35,771,059,700.00"
HBL,Commercial Bank,Himalayan Bank Limited,"216,566,158",100,"14,006,223,872.00"
KBL,Commercial Bank,Kumari Bank Limited,"262,258,613",100,"26,225,861,300.00"
MBL,Commercial Bank,Machhapuchchhre Bank Limited,"102,571,556",100,"10,257,155,600.00"
NABIL,Commercial Bank,Nabil Bank Limited,"270,569,984",100,"27,056,996,352.00"
NBL,Commercial Bank,Nepal Bank Limited,"146,940,224",100,"4,000,000,000.00"
NICA,Commercial Bank,NIC Asia Bank Ltd.,"115,640,056",100,"11,564,005,600.00"
NMB,Commercial Bank,NMB Bank Limited,"183,667,060",100,"18,366,706,000.00"
PCBL,Commercial Bank,Prime Commercial Bank Ltd.,"194,025,760",100,"19,402,575,872.00"
SANIMA,Commercial Bank,Sanima Bank Limited,"124,601,152",100,"12,460,114,944.00"
SBI,Commercial Bank,Nepal SBI Bank Limited,"101,206,288",100,"10,120,629,248.00"
SBL,Commercial Bank,Siddhartha Bank Limited,"140,899,808",100,"14,089,979,904.00"
SCB,Commercial Bank,Standard Chartered Bank Limited,"94,294,539",100,"9,429,453,900.00"
PRVU,Commercial Bank,Prabhu Bank Limited,"135,347,696",100,"13,534,770,176.00"
NIMB,Commercial Bank,Nepal Investment Mega Bank Limited,"341,285,949",100,"34,128,594,900.00"
LSL,Commercial Bank,Laxmi Sunrise Bank Limited,"216,702,379",100,"21,670,237,900.00"
CORBL,Development Bank,Corporate Development Bank Limited,"5,250,000",100,"525,000,000.00"
EDBL,Development Bank,Excel Development Bank Ltd.,"12,496,945",100,"1,249,694,464.00"
GBBL,Development Bank,Garima Bikas Bank Limited,"51,752,784",100,"5,175,278,592.00"
JBBL,Development Bank,Jyoti Bikas Bank Limited,"43,957,860",100,"4,395,786,000.00"
MDB,Development Bank,Miteri Development Bank Limited,"10,150,015",100,"1,015,001,472.00"
MNBBL,Development Bank,Muktinath Bikas Bank Ltd.,"64,209,004",100,"6,420,900,352.00"
NABBC,Development Bank,Narayani Development Bank Limited,"2,624,676",100,"262,467,600.00"
SADBL,Development Bank,Shangrila Development Bank Ltd.,"30,106,697",100,"3,010,669,700.00"
SHINE,Development Bank,Shine Resunga Development Bank Ltd.,"42,838,832",100,"4,283,883,264.00"
SINDU,Development Bank,Sindhu Bikash Bank Ltd,"5,574,561",100,"557,456,100.00"
GRDBL,Development Bank,Green Development Bank Ltd.,"5,190,000",100,"519,000,000.00"
SABBL,Development Bank,Salapa Bikas Bank Limited,"5,223,880",100,"522,388,000.00"
MLBL,Development Bank,Mahalaxmi Bikas Bank Ltd.,"41,713,184",100,"4,171,318,528.00"
LBBL,Development Bank,Lumbini Bikas Bank Ltd.,"33,828,216",100,"3,382,821,376.00"
KSBBL,Development Bank,Kamana Sewa Bikas Bank Limited,"31,425,771",100,"3,142,577,100.00"
